Full Name,Current Job Title,Company/Organization,LinkedIn URL,YouTube Channel URL,Subscriber Count,Primary Content Focus,Key Achievement 1,Key Achievement 2,Expertise Level (1-5)
Neil Patel,Co-founder & CEO,Neil Patel Digital / Ubersuggest,https://www.linkedin.com/in/neilpatel/,https://www.youtube.com/c/NeilPatel,3000000,"AI SEO, Content Marketing, SaaS Growth","Founded multiple 6-7 figure agencies","Created Ubersuggest AI tool",5
Brian Dean,Founder & CEO,Backlinko,https://www.linkedin.com/in/briandean/,https://www.youtube.com/@backlinko,800000,"Technical SEO, Content Strategy, B2B SaaS","Created authoritative Backlinko blog","Published Backlinko SEO Guide (industry standard)",5
Rand Fishkin,Founder,SparkToro (formerly Moz),https://www.linkedin.com/in/randfishkin/,https://www.youtube.com/@randfishkin,200000,"Audience Intelligence, SEO Strategy, Content Planning","Built Moz SEO platform","Published The Art of SEO textbook",5
Tim Soulo,Chief Marketing Officer,Ahrefs,https://www.linkedin.com/in/timsoulo/,https://www.youtube.com/@ahrefs,800000,"AI Content Tools, Keyword Research, B2B SaaS Marketing","CMO of leading SEO platform","Published 100+ comprehensive guides",5
Azreen Azman,Head of Content,Ahrefs,https://www.linkedin.com/in/azreenazman/,https://www.youtube.com/@ahrefs,800000,"B2B Content Strategy, AI Writing Tools, SEO Content","Leading content strategy at Ahrefs","Published Content Marketing ROI guides",4
Cristina Imre,Head of Content,Semrush Academy,https://www.linkedin.com/in/cristina-imre/,https://www.youtube.com/@semrushacademy,500000,"AI Content Writing, Content Optimization, Educational Content","Leads academy for 6M+ users","Created comprehensive AI content courses",4
Ann Smarty,Content Strategist,Internet Marketing Ninjas,https://www.linkedin.com/in/annsmarty/,https://www.youtube.com/@annsmarty,50000,"Content Distribution, Guest Blogging, B2B Strategy","Founded MyBlogGuest platform","20+ years SEO & content experience",4
Adrian Soto,Founder & Trainer,SEO Insider Academy,https://www.linkedin.com/in/adriansoto/,https://www.youtube.com/@adriansoto,180000,"AI SEO Tools, Content Automation, Video Marketing","Created SEO Tech Training academy","Published AI tool tutorials series",4
Jared Friedman,Growth & Operations Officer,Ramp,https://www.linkedin.com/in/jfriedman/,https://www.youtube.com/@ycombinator,1000000,"B2B SaaS Growth, Data-Driven Content, Startup Strategy","Y Combinator advisor","Former Stripe growth strategist",4
James Kademan,Content Strategist & SEO Specialist,Semrush,https://www.linkedin.com/in/jameskademan/,https://www.youtube.com/@semrush,1000000,"AI-Powered SEO, Content Automation, B2B SaaS","Content specialist at Semrush (1M+ subs)","Published AI SEO guides & case studies",4
